id,name,address,developer,status,decision,top_score,candidate_ids,candidate_name,candidate_address,candidate_developer,candidate_status,candidate_lat,candidate_lng,candidate_occurrences,candidate_sources
OBJ-0264,БЦ на Текстильщиков,"г. Москва, 8-я Текстильщиков ул.,",Aurix,Проектный,NO_MATCH,60.4,OBJ-0459,"Текстильщиков 8-я ул., вл. 8","Текстильщиков 8-я ул., вл. 8",Эталон,Проектный,55.704052,37.740498,1,future_projects_existing
OBJ-0271,БЦ Самолет,,,Не определён,REVIEW,86,OBJ-0336,Самолет АДЦ Коммунарка,"Коммунарка, квартал 151",Самолет,Проектный,55.569454,37.454479,1,future_projects_existing
OBJ-0272,БЦ Старт,,,Не определён,NO_MATCH,53.3,OBJ-0347,ТАКТ,"2-я Ямская ул., вл. 9",Upside Development,Проектный,55.79431,37.607224,1,future_projects_existing
OBJ-0296,Крост АДЦ Коммунарка,,Крост,Проектный,NO_MATCH,66.3,OBJ-0324,Основа АДЦ Коммунарка,"Коммунарка, квартал 150",Основа,Проектный,55.573308,37.45945,1,future_projects_existing
OBJ-0297,КРТ Теплый стан,,Аквилон,Проектный,NO_MATCH,0,,,,,,,,,
OBJ-0397,Донстрой в Раменках,,Донстрой,Проектный,NO_MATCH,54.8,OBJ-0290,Донстрой в Сити,"Москва, Эрисмана, 1",Донстрой,Проектный,55.746625,37.529458,1,future_projects_existing
OBJ-0469,"Кунцево, 59 км МКАД","Кунцево, 59 км МКАД",,Проектный,NO_MATCH,0,,,,,,,,,
OBJ-0564,сколково,,,Сданный,REVIEW,97,22; proj-22,БЦ Сколково,"Большой бульвар, 40, Инновационный центр Сколково, Москва",,Строится,55.695256,37.347081,4,all_projects_layer; quarter_buildings
OBJ-0579,"Lucky, bldg 2","2nd Zvenigorodskaya, 28",Vesper,Сданный,REVIEW,77.3,OBJ-0016,Lucky (корпус 6),"Москва, 2-я Звенигородская ул., 12А",Vesper,Сданный,55.762135,37.555265,1,future_projects_existing
OBJ-0598,"4-ая Магистральная, вл. 7","4-ая Магистральная, вл. 7",Аркс,Анонсированный,REVIEW,74.4,OBJ-0095,БЦ Магистральный (из буклета 2026),"г. Москва, 4-я Магистральная ул., вл. 4",ГК ФСК,Проектный,55.772441,37.518021,1,future_projects_existing
OBJ-0599,"2-ая Магистральная, вл. 3, 16","2-ая Магистральная, вл. 3, 16",АО Проспект,Анонсированный,REVIEW,77.4,OBJ-0646,Деловой Квартал Light City,"2-я Магистральная ул., 3",АО «Проспект»,Проектный,55.76277,37.5251764,1,future_projects_existing
OBJ-0605,"1-я Магистральная, вл. 29","1-я Магистральная, вл. 29",,Проектный,REVIEW,72.9,168; proj-168,Orbital-2,"Москва, 3-я Магистральная ул., вл. 12",Ultima Development,Строится,55.763964,37.523959,6,all_projects_layer; quarter_buildings
OBJ-0625,Южный Речной Порт,"Проспект Андропова,д.11 корп. 4,5,6,7",Regions Development,Проектный,NO_MATCH,64.9,OBJ-0530,Северный речной порт,"Ленинградское ш., 63Ас3",Plus Development,Анонсированный,55.846795,37.471884,1,future_projects_existing
OBJ-0627,Национальный космический центр,"г. Москва, ул. Большая Филевская, 20",Мосинжпроект,Строящийся,NO_MATCH,66.3,OBJ-0222,STONE Пионерская,ул. Малая Филевская,STONE,Проектный,55.737223,37.471039,1,future_projects_existing
OBJ-0628,Общественно-деловой комплекс,"Кавказский б-р, вл. 54",УК Бёрдз,Проектный,REVIEW,86,OBJ-0658,Общественно-деловой комплекс на Молдавской,"Молдавская ул., вл. 3-5",,Проектный,55.7304433,37.4407096,1,future_projects_existing
OBJ-0629,Деловой Центр м. Университет,"пр-кт Вернадского, вл6-Вс1",Инвестиционная Группа АБСОЛЮТ,Проектный,REVIEW,71.8,OBJ-0216,STONE Вернадского,"пр-кт Вернадского, 10",STONE,Проектный,55.687112,37.517572,1,future_projects_existing
OBJ-0631,ТПУ Минская,м. Минская,BMS Development Group,Проектный,REVIEW,71.6,OBJ-0426,Феномен города,ул. Минская,BMS,Проектный,55.723524,37.496515,1,future_projects_existing
OBJ-0635,Башня в Сити,"Краснопресненская наб., вл. 16/1",ГАЛС-Девелопмент,Проектный,REVIEW,80.3,OBJ-0128,Галс Багратион,"Краснопресненская набережная, 16с1",Галс Девелопмент,Проектный,55.748149,37.543915,1,future_projects_existing
OBJ-0636,Многофункциональный комплекс ЗИЛ,"ул. Автозаводская, 23к15, стр. 85, стр. 310",ИТЭЛМА ДЕВЕЛОПМЕНТ,Проектный,NO_MATCH,65.9,OBJ-0688,Многофункциональный офисный комплекс,ш. Энтузиастов. вл. 12,Объект Гарант,Проектный,55.7517208,37.7177272,1,future_projects_existing
OBJ-0637,БЦ на Войковской,"Старопетровский пр-д, 7А",ГАЛС-Девелопмент,Проектный,REVIEW,86.1,OBJ-0446,Солнце,"Старопетровский проезд, 7А",Галс-Девелопмент,Проектный,55.825563,37.50089,1,future_projects_existing
OBJ-0638,"БЦ на Шмитовском пр-д, вл. 32, 32А","Шмитовский пр-д, вл. 32, 32А",,Проектный,REVIEW,80.0,OBJ-0362,"Шмитовский проезд, влад. 32, 32А","Шмитовский проезд, влад. 32, 32А",STONE,Проектный,55.756865,37.531774,1,future_projects_existing
OBJ-0639,"БЦ на Ленинградском пр-кте, 37","Ленинградский пр-кт, 37",Dar,Проектный,REVIEW,81.3,OBJ-0697,Fly Tower,"Ленинградский пр-кт, 37к3",KR Properties,Замороженный,55.793075,37.541796,1,future_projects_existing
OBJ-0640,ЗИЛАРТ GRAND (Дом 18),"ул Автозаводская, вл. 23/2",ЛСР,Строящийся,REVIEW,70.2,OBJ-0695,Парк Легенд (корпус 3),"Автозаводская ул., 23Ак2",Группа ТЭН,Сданный,55.710632,37.6655722,1,future_projects_existing
OBJ-0645,Авиапарк Офисы,"Ходынский б-р, 4",,Проектный,NO_MATCH,69.1,OBJ-0482,БЦ на Ходынке,"Ходынский бульвар, 4/1",Tekta Group,Анонсированный,55.790231,37.531289,1,future_projects_existing
OBJ-0649,iCITY (Башня Time),"Шмитовский пр-д, 37",MR Group,Сданный,REVIEW,85.7,OBJ-0142,iCity-2,"г. Москва, Шмитовский проезд д. 37",MR GROUP,Проектный,55.753168,37.529968,1,future_projects_existing
OBJ-0651,Многофункциональный офисный центр,"Ленинградское ш., уч. 63А/1А",Мангазея,Проектный,REVIEW,86,OBJ-0688,Многофункциональный офисный комплекс,ш. Энтузиастов. вл. 12,Объект Гарант,Проектный,55.7517208,37.7177272,1,future_projects_existing
OBJ-0652,Rublevo Business Park,"МКАД, 64-й километр, 1",ПИОНЕР-М,Строящийся,NO_MATCH,47.7,proj-215,Регус (Гринвуд) (Гринвуд),"72 км МКАД, п/о Путилково, строение 19",Регус,Не установлен,55.868617,37.403261,1,all_projects_layer
OBJ-0655,iCITY (Башня Space),"Шмитовский пр-д, 37",MR Group,Строящийся,REVIEW,85.7,OBJ-0142,iCity-2,"г. Москва, Шмитовский проезд д. 37",MR GROUP,Проектный,55.753168,37.529968,1,future_projects_existing
OBJ-0657,Технопарк ЗИЛ А,"Автозаводская ул., 23с85",ИТЭЛМА ДЕВЕЛОПМЕНТ,Строящийся,REVIEW,86,OBJ-0057,"Технопарк ЗИЛ, (А1 и А2)","Автозаводская улица, 23с84",Итэлма,Сданный,55.702688,37.634389,1,future_projects_existing
OBJ-0660,Медиацентр НТВ,"Новомосковская ул., вл. 18-22",SVARGO group,Строящийся,REVIEW,74.4,OBJ-0352,Технопарк НТВ,"г. Москва, Новомосковская ул., д.12",,Сданный,55.817638,37.618812,1,future_projects_existing
OBJ-0668,Sydney City,"улица Шеногина, вл2/11",ГК ФСК,Строящийся,NO_MATCH,64.3,OBJ-0043,МФК Сидней Сити,"Шеногина ул., земельный участок 2/11",ФСК,Проектный,55.765134,37.509864,1,future_projects_existing
OBJ-0670,Деловой комплекс Шмитовский 34,"Шмитовский пр-д, вл. 34",,Проектный,REVIEW,72.2,OBJ-0142,iCity-2,"г. Москва, Шмитовский проезд д. 37",MR GROUP,Проектный,55.753168,37.529968,1,future_projects_existing
OBJ-0672,БЦ на Нагатинской набережной,"Варшавское ш., 37Гс7",Prime Life Development,Проектный,NO_MATCH,67.3,OBJ-0501,"Варшавское шоссе, 36","Варшавское шоссе, 36",Prime Life Development,Анонсированный,55.679057,37.624004,1,future_projects_existing
OBJ-0673,Офисный комплекс Кожуховский,"2-й Кожуховский пр-д, д.29, к2с16",Гута Девелопмент,Проектный,NO_MATCH,55.9,OBJ-0148,Офисный комплекс на Даниловской наб.,"г. Москва, Даниловская набережная, вл. 8, стр. 14.",,Проектный,55.709008,37.637488,1,future_projects_existing
OBJ-0681,Деловое пространство в Савеловском районе (по программе КРТ),"Вятская ул., вл. 41А",,Проектный,REVIEW,82.4,OBJ-0304,Мангазея на Вятской улице,"Вятская ул., вл. 41",Мангазея,Проектный,55.800271,37.576789,1,future_projects_existing
OBJ-0691,Бизнес-квартал Прокшино (Башня 2) (2-я оч.),"пос. Сосенское, БК Прокшино",А101,Строящийся,REVIEW,86,OBJ-0528,Прокшино,поселении Сосенское,,Анонсированный,55.579507,37.434383,1,future_projects_existing
OBJ-0693,"БЦ Жуков пр-д, 19","Жуков пр-д, 19",Гута Девелопмент,Проектный,REVIEW,84.6,OBJ-0254; OBJ-0394,"БЦ Жуков проезд, 19","Жуков проезд, 19",Гута девелопмент,Проектный,55.722821,37.641521,2,future_projects_existing
OBJ-0694,Бизнес-квартал Прокшино (Башня 1) (1-я оч.),"пос. Сосенское, БК Прокшино",А101,Сданный,REVIEW,86,OBJ-0528,Прокшино,поселении Сосенское,,Анонсированный,55.579507,37.434383,1,future_projects_existing
OBJ-0696,STONE Ходынка 1 (Башня H1),"Москва, Ходынский бульвар, з/у 6/2",STONE,Строящийся,AUTO,100.0,OBJ-0100,STONE Ходынка 1 (квартал целиком),"Москва, Ходынский бульвар, з/у 6/2",STONE,Строящийся,55.787938,37.535628,1,future_projects_existing
OBJ-0703,Upside Kuntsevo,"Западный административный округ, район Кунцево, 48-й квартал",Upside development,Строящийся,NO_MATCH,45.1,254; proj-254,Upside Tech Сколково,"г. Москва, Нобеля ул.",Upside Development,Строится,55.682204,37.338956,3,all_projects_layer; quarter_buildings
OBJ-0710,Бизнес-квартал Прокшино (Башня 3) (3-я оч.),"БК Прокшино, пос. Сосенское, 5",А101,Строящийся,REVIEW,86,OBJ-0528,Прокшино,поселении Сосенское,,Анонсированный,55.579507,37.434383,1,future_projects_existing
OBJ-0712,Технопарк ЗИЛ Б,"пр-кт Лихачёва, 5",ИТЭЛМА ДЕВЕЛОПМЕНТ,Сданный,NO_MATCH,64.0,OBJ-0027,"Технопарк ЗИЛ, фаза I","Автозаводская улица,23,стр. 86",Итэлма,Сданный,55.701526,37.634047,1,future_projects_existing
OBJ-0713,"Ривер Парк Коломенское (корпус 14, секция 1)","ул. Речников, зу 7/7",Речников Инвест,Строящийся,NO_MATCH,51.9,OBJ-0249,БЦ в Лужниках,"ул. Лужники, ЗУ 24/2",Ultima Development,Проектный,55.721141,37.555636,1,future_projects_existing
OBJ-0714,"Ривер Парк Коломенское (корпус 14, секция 2)","ул. Речников, зу 7/7",Речников Инвест,Строящийся,NO_MATCH,51.9,OBJ-0249,БЦ в Лужниках,"ул. Лужники, ЗУ 24/2",Ultima Development,Проектный,55.721141,37.555636,1,future_projects_existing
OBJ-0722,STONE Ходынка 1 (Башня H2),"Москва, Ходынский бульвар, з/у 6/2",STONE,Строящийся,AUTO,100.0,OBJ-0100,STONE Ходынка 1 (квартал целиком),"Москва, Ходынский бульвар, з/у 6/2",STONE,Строящийся,55.787938,37.535628,1,future_projects_existing
OBJ-0723,"Ривер Парк Коломенское (корпус 7, секция 2)","ул. Речников, зу 7/8",Речников Инвест,Строящийся,NO_MATCH,51.9,OBJ-0249,БЦ в Лужниках,"ул. Лужники, ЗУ 24/2",Ultima Development,Проектный,55.721141,37.555636,1,future_projects_existing
OBJ-0724,"Ривер Парк Коломенское (корпус 7, секция 1)","ул. Речников, зу 7/8",Речников Инвест,Строящийся,NO_MATCH,51.9,OBJ-0249,БЦ в Лужниках,"ул. Лужники, ЗУ 24/2",Ultima Development,Проектный,55.721141,37.555636,1,future_projects_existing
OBJ-0725,МФК Электролитный,"Электролитный пр-д, вл. 3",ГК Ташир,Строящийся,REVIEW,86,OBJ-0139,Электролит,"Электролитный пр-д, 3",Tashir Development,Проектный,55.673641,37.617204,1,future_projects_existing
OBJ-0728,Капитолий (фаза II),"пр-кт Вернадского, 6В",ENKA,Не определён,REVIEW,89,OBJ-0137,БЦ Капитолий,"Москва, Вернадского пр-т, 6",ENKA,Сданный,55.691963,37.527965,1,future_projects_existing
OBJ-0735,STONE Ходынка 1 (Башня H3),"Москва, Ходынский бульвар, з/у 6/2",STONE,Строящийся,AUTO,100.0,OBJ-0100,STONE Ходынка 1 (квартал целиком),"Москва, Ходынский бульвар, з/у 6/2",STONE,Строящийся,55.787938,37.535628,1,future_projects_existing
OBJ-0738,Актион на 1905 года,"Ходынская ул., з/у 2/9",Актион Девелопмент,Строящийся,REVIEW,73.8,OBJ-0091,БЦ Ходынский,"Ходынская ул., 2С9",Актион Девелопмент,Проектный,55.77037,37.566135,1,future_projects_existing
OBJ-0747,Gate 1,"пр-кт 60-летия Октября, 5А",Insolver,Проектный,REVIEW,82.6,OBJ-0199,Insolver на Проспекте 60-летия Октября,"проспект 60-летия Октября, 5А, Москва",Insolver,Проектный,55.704016,37.580815,1,future_projects_existing
OBJ-0750,Лофт Квартал Сколково (корпус 2),"ИЦ Сколково, ул. Зворыкина, 1",ГК Монолитхолдинг,Строящийся,REVIEW,87,22; proj-22,БЦ Сколково,"Большой бульвар, 40, Инновационный центр Сколково, Москва",,Строится,55.695256,37.347081,4,all_projects_layer; quarter_buildings
OBJ-0751,Лофт Квартал Сколково (корпус 9),"ИЦ Сколково, ул. Зворыкина, 1",ГК Монолитхолдинг,Строящийся,REVIEW,87,22; proj-22,БЦ Сколково,"Большой бульвар, 40, Инновационный центр Сколково, Москва",,Строится,55.695256,37.347081,4,all_projects_layer; quarter_buildings
OBJ-0753,"Ривер Парк Коломенское (корпус 12, секции 1, 2)","ул. Речников, зу 7/3",Речников Инвест,Строящийся,NO_MATCH,51.9,OBJ-0249,БЦ в Лужниках,"ул. Лужники, ЗУ 24/2",Ultima Development,Проектный,55.721141,37.555636,1,future_projects_existing
OBJ-0754,Лофт Квартал Сколково (корпус 5),"ИЦ Сколково, ул. Зворыкина, 1",ГК Монолитхолдинг,Сданный,REVIEW,87,22; proj-22,БЦ Сколково,"Большой бульвар, 40, Инновационный центр Сколково, Москва",,Строится,55.695256,37.347081,4,all_projects_layer; quarter_buildings
OBJ-0755,Лофт Квартал Сколково (корпус 1),"ИЦ Сколково, ул. Зворыкина, 1",ГК Монолитхолдинг,Строящийся,REVIEW,87,22; proj-22,БЦ Сколково,"Большой бульвар, 40, Инновационный центр Сколково, Москва",,Строится,55.695256,37.347081,4,all_projects_layer; quarter_buildings
OBJ-0760,Лофт Квартал Сколково (корпус 3),"ИЦ Сколково, ул. Зворыкина, 1",ГК Монолитхолдинг,Строящийся,REVIEW,87,22; proj-22,БЦ Сколково,"Большой бульвар, 40, Инновационный центр Сколково, Москва",,Строится,55.695256,37.347081,4,all_projects_layer; quarter_buildings
OBJ-0761,Лофт Квартал Сколково (корпус 6),"ИЦ Сколково, ул. Зворыкина, 1",ГК Монолитхолдинг,Строящийся,REVIEW,87,22; proj-22,БЦ Сколково,"Большой бульвар, 40, Инновационный центр Сколково, Москва",,Строится,55.695256,37.347081,4,all_projects_layer; quarter_buildings
OBJ-0764,Лофт Квартал Сколково (корпус 8),"ИЦ Сколково, ул. Зворыкина, 1",ГК Монолитхолдинг,Строящийся,REVIEW,87,22; proj-22,БЦ Сколково,"Большой бульвар, 40, Инновационный центр Сколково, Москва",,Строится,55.695256,37.347081,4,all_projects_layer; quarter_buildings
OBJ-0765,Лофт Квартал Сколково (корпус 4),"ИЦ Сколково, ул. Зворыкина, 1",ГК Монолитхолдинг,Не определён,REVIEW,87,22; proj-22,БЦ Сколково,"Большой бульвар, 40, Инновационный центр Сколково, Москва",,Строится,55.695256,37.347081,4,all_projects_layer; quarter_buildings
OBJ-0767,Лофт Квартал Сколково (корпус 10),"ИЦ Сколково, ул. Зворыкина, 1",ГК Монолитхолдинг,Строящийся,REVIEW,87,22; proj-22,БЦ Сколково,"Большой бульвар, 40, Инновационный центр Сколково, Москва",,Строится,55.695256,37.347081,4,all_projects_layer; quarter_buildings
OBJ-0768,"БЦ на Ленинградском пр-кте, 37А","Ленинградский пр-кт, 37А",Терра Нова,Проектный,REVIEW,79.6,OBJ-0697,Fly Tower,"Ленинградский пр-кт, 37к3",KR Properties,Замороженный,55.793075,37.541796,1,future_projects_existing
OBJ-0769,Большевик 2,"Ленинградский пр-кт, 15с21",О1 Property,Замороженный,REVIEW,71.2,95; proj-95,Алкон 3,"Ленинградский пр-т, 34",Alcon Development,Построен,55.785761,37.568839,6,all_projects_layer; quarter_buildings
OBJ-0770,Деловой квартал ЮПорт (корпус 7),"пр-кт Андропова, 11к7",Regions Development,Строящийся,REVIEW,73.8,OBJ-0476,Riva,"Проспект Андропова, 11Г",Regions Development,Проектный,55.691207,37.68014,1,future_projects_existing
OBJ-0771,Деловой квартал ЮПорт (корпус 5),"пр-кт Андропова, 11к5",Regions Development,Строящийся,REVIEW,73.8,OBJ-0476,Riva,"Проспект Андропова, 11Г",Regions Development,Проектный,55.691207,37.68014,1,future_projects_existing
OBJ-0772,Деловой квартал ЮПорт (корпус 1),"пр-кт Андропова, 11к1",Regions Development,Строящийся,REVIEW,73.8,OBJ-0476,Riva,"Проспект Андропова, 11Г",Regions Development,Проектный,55.691207,37.68014,1,future_projects_existing
OBJ-0774,Деловой квартал ЮПорт (корпус 6),"пр-кт Андропова, 11к6",Regions Development,Строящийся,REVIEW,73.8,OBJ-0476,Riva,"Проспект Андропова, 11Г",Regions Development,Проектный,55.691207,37.68014,1,future_projects_existing
OBJ-0775,Деловой квартал ЮПорт (корпус 2),"пр-кт Андропова, 11к2",Regions Development,Строящийся,REVIEW,73.8,OBJ-0476,Riva,"Проспект Андропова, 11Г",Regions Development,Проектный,55.691207,37.68014,1,future_projects_existing
OBJ-0776,Деловой квартал ЮПорт (корпус 4),"пр-кт Андропова, 11к4",Regions Development,Строящийся,REVIEW,73.8,OBJ-0476,Riva,"Проспект Андропова, 11Г",Regions Development,Проектный,55.691207,37.68014,1,future_projects_existing
OBJ-0777,БЦ на ул. Гончарная д.20/1c2,"ул. Гончарная, 20/1c2",НИИ Экран,Сданный,NO_MATCH,58.0,OBJ-0283,"Гончарная ул., д.20/1, стр.2","Гончарная ул., д.20/1, стр.2",,Сданный,55.744075,37.647899,1,future_projects_existing
OBJ-0779,Лофт Квартал Сколково (корпус 7),"ИЦ Сколково, ул. Зворыкина, 1",ГК Монолитхолдинг,Строящийся,REVIEW,87,22; proj-22,БЦ Сколково,"Большой бульвар, 40, Инновационный центр Сколково, Москва",,Строится,55.695256,37.347081,4,all_projects_layer; quarter_buildings
